latitude,longitude,altitude_m
48.1371631,11.5757187,518.18
48.1371667,11.5757197,518.219
48.1371703,11.5757141,518.179
48.1371739,11.5757189,518.197
48.1371776,11.5757205,518.208
48.1371812,11.5757235,518.284
48.1371848,11.5757181,518.192
48.1371884,11.5757173,518.214
48.137192,11.5757181,518.247
48.1371957,11.575722,518.33
48.1371993,11.5757204,518.307
48.1372029,11.5757181,518.266
48.1372065,11.5757209,518.313
48.1372102,11.5757198,518.31
48.1372138,11.5757221,518.332
48.1372174,11.5757176,518.37
48.137221,11.5757186,518.317
48.1372247,11.5757184,518.418
48.1372283,11.5757155,518.391
48.1372319,11.5757203,518.437
48.1372355,11.5757202,518.402
48.1372392,11.5757195,518.419
48.1372428,11.5757189,518.39
48.1372464,11.5757157,518.411
48.13725,11.5757184,518.469
48.1372536,11.5757186,518.506
48.1372573,11.5757173,518.439
48.1372609,11.5757191,518.483
48.1372645,11.5757206,518.51
48.1372681,11.5757246,518.507
48.1372718,11.57572,518.553
48.1372754,11.5757202,518.527
48.137279,11.5757193,518.55
48.1372826,11.5757143,518.527
48.1372863,11.5757194,518.557
48.1372899,11.5757197,518.594
48.1372935,11.5757261,518.635
48.1372971,11.575719,518.603
48.1373007,11.5757203,518.612
48.1373044,11.5757194,518.65
48.137308,11.5757163,518.686
48.1373116,11.5757226,518.687
48.1373152,11.5757215,518.719
48.1373189,11.5757216,518.66
48.1373225,11.575717,518.693
48.1373261,11.5757233,518.702
48.1373297,11.5757157,518.661
48.1373334,11.5757211,518.724
48.137337,11.5757254,518.818
48.1373406,11.5757168,518.776
48.1373442,11.575718,518.773
48.1373479,11.5757198,518.742
48.1373515,11.5757181,518.785
48.1373551,11.5757153,518.797
48.1373587,11.5757197,518.829
48.1373623,11.5757166,518.764
48.137366,11.5757208,518.827
48.1373696,11.575717,518.843
48.1373732,11.5757237,518.91
48.1373768,11.5757174,518.805
48.1373805,11.5757186,518.885
48.1373841,11.5757217,518.923
48.1373877,11.5757162,518.926
48.1373913,11.5757201,518.955
48.137395,11.575723,518.98
48.1373986,11.5757152,518.908
48.1374022,11.57572,518.913
48.1374058,11.5757202,518.972
48.1374095,11.5757216,519.033
48.1374131,11.5757162,519.027
48.1374167,11.5757159,519.018
48.1374203,11.5757209,519.049
48.1374239,11.5757203,519.056
48.1374239,11.5757539,519.209
48.1374203,11.5757541,519.212
48.1374167,11.5757514,519.239
48.1374131,11.5757538,519.161
48.1374095,11.575754,519.227
48.1374058,11.5757513,519.142
48.1374022,11.5757582,519.217
48.1373986,11.5757545,519.103
48.137395,11.57575,519.126
48.1373913,11.575755,519.101
48.1373877,11.5757506,519.045
48.1373841,11.5757553,519.107
48.1373805,11.5757563,519.124
48.1373768,11.575751,519.028
48.1373732,11.5757558,519.022
48.1373696,11.5757543,519.044
48.137366,11.5757554,519.038
48.1373623,11.5757583,519.061
48.1373587,11.5757525,519.03
48.1373551,11.5757512,518.98
48.1373515,11.5757508,519.024
48.1373479,11.575751,518.964
48.1373442,11.575753,518.945
48.1373406,11.5757541,518.901
48.137337,11.5757539,518.929
48.1373334,11.5757554,518.922
48.1373297,11.5757532,518.937
48.1373261,11.5757571,518.931
48.1373225,11.5757525,518.845
48.1373189,11.5757605,518.916
48.1373152,11.5757549,518.889
48.1373116,11.5757509,518.881
48.137308,11.5757503,518.847
48.1373044,11.5757545,518.854
48.1373007,11.5757526,518.81
48.1372971,11.5757551,518.822
48.1372935,11.5757545,518.832
48.1372899,11.575753,518.734
48.1372863,11.5757509,518.741
48.1372826,11.5757491,518.706
48.137279,11.575752,518.744
48.1372754,11.5757555,518.776
48.1372718,11.5757538,518.7
48.1372681,11.5757498,518.613
48.1372645,11.5757537,518.681
48.1372609,11.5757542,518.712
48.1372573,11.5757508,518.67
48.1372536,11.5757536,518.67
48.13725,11.5757534,518.635
48.1372464,11.5757501,518.576
48.1372428,11.5757542,518.639
48.1372392,11.5757547,518.589
48.1372355,11.5757561,518.675
48.1372319,11.575756,518.615
48.1372283,11.5757495,518.533
48.1372247,11.5757507,518.526
48.137221,11.5757546,518.551
48.1372174,11.5757546,518.534
48.1372138,11.5757546,518.563
48.1372102,11.5757636,518.571
48.1372065,11.5757547,518.484
48.1372029,11.5757563,518.559
48.1371993,11.5757558,518.489
48.1371957,11.575755,518.494
48.137192,11.5757524,518.427
48.1371884,11.5757552,518.459
48.1371848,11.5757511,518.423
48.1371812,11.5757526,518.353
48.1371776,11.5757519,518.454
48.1371739,11.5757534,518.429
48.1371703,11.5757594,518.398
48.1371667,11.5757482,518.305
48.1371631,11.5757551,518.373
48.1371594,11.5757489,518.32
48.1371558,11.5757519,518.332
48.1371522,11.5757561,518.338
48.1371486,11.5757534,518.32
48.1371449,11.5757503,518.32
48.1371413,11.5757513,518.287
48.1371377,11.575755,518.246
48.1371341,11.5757512,518.286
48.1371304,11.5757538,518.296
48.1371268,11.5757533,518.327
48.1371232,11.5757514,518.177
48.1371196,11.575759,518.246
48.137116,11.5757549,518.142
48.1371123,11.5757477,518.171
48.1371087,11.5757537,518.158
48.1371051,11.5757514,518.208
48.1371015,11.5757555,518.136
48.1370978,11.5757511,518.073
48.1370942,11.5757529,518.107
48.1370906,11.5757546,518.059
48.137087,11.5757555,518.134
48.1370833,11.57575,518.008
48.1370797,11.5757523,518.071
48.1370761,11.5757519,517.994
48.1370725,11.5757514,518.032
48.1370688,11.575758,518.113
48.1370652,11.5757543,518.043
48.1370616,11.5757498,517.97
48.137058,11.5757557,518.015
48.1370544,11.5757589,518.021
48.1370507,11.575756,518.007
48.1370471,11.5757491,517.903
48.1370435,11.5757519,517.965
48.1370399,11.5757566,517.879
48.1370362,11.5757513,517.901
48.1370326,11.5757544,517.91
48.137029,11.5757553,517.936
48.1370254,11.5757507,517.881
48.1370217,11.575753,517.839
48.1370181,11.5757445,517.793
48.1370145,11.5757504,517.849
48.1370109,11.5757525,517.839
48.1370073,11.5757498,517.798
48.1370036,11.5757576,517.83
48.137,11.5757493,517.809
48.1369964,11.575752,517.775
48.1369928,11.5757536,517.784
48.1369891,11.5757571,517.859
48.1369855,11.5757493,517.697
48.1369819,11.5757563,517.71
48.1369783,11.5757532,517.76
48.1369746,11.5757506,517.69
48.136971,11.5757544,517.709
48.1369674,11.5757537,517.679
48.1369638,11.5757516,517.671
48.1369601,11.5757534,517.724
48.1369565,11.5757522,517.681
48.1369529,11.5757535,517.676
48.1369493,11.575755,517.601
48.1369457,11.5757575,517.606
48.136942,11.5757499,517.501
48.1369384,11.575759,517.585
48.1369348,11.5757479,517.568
48.1369312,11.5757528,517.552
48.1369275,11.5757548,517.511
48.1369239,11.575754,517.485
48.1369203,11.5757515,517.424
48.1369167,11.5757526,517.422
48.136913,11.5757519,517.402
48.1369094,11.5757516,517.297
48.1369058,11.5757555,517.338
48.1369022,11.5757542,517.326
48.1368985,11.5757513,517.252
48.1368949,11.5757556,517.293
48.1368913,11.575754,517.34
48.1368877,11.5757554,517.26
48.1368841,11.5757549,517.275
48.1368841,11.5757847,517.455
48.1368877,11.5757854,517.478
48.1368913,11.5757889,517.502
48.1368949,11.5757886,517.484
48.1368985,11.5757869,517.433
48.1369022,11.5757872,517.473
48.1369058,11.5757904,517.535
48.1369094,11.5757853,517.493
48.136913,11.5757884,517.542
48.1369167,11.5757864,517.523
48.1369203,11.5757863,517.583
48.1369239,11.5757899,517.613
48.1369275,11.5757891,517.607
48.1369312,11.5757891,517.679
48.1369348,11.5757904,517.677
48.1369384,11.575787,517.705
48.136942,11.5757888,517.764
48.1369457,11.5757861,517.78
48.1369493,11.5757878,517.765
48.1369529,11.5757866,517.845
48.1369565,11.5757872,517.851
48.1369601,11.5757885,517.835
48.1369638,11.5757847,517.805
48.1369674,11.5757926,517.9
48.136971,11.5757842,517.861
48.1369746,11.5757836,517.888
48.1369783,11.57579,517.919
48.1369819,11.575789,517.877
48.1369855,11.5757886,517.935
48.1369891,11.5757886,517.95
48.1369928,11.5757869,517.981
48.1369964,11.5757845,517.941
48.137,11.5757871,518.038
48.1370036,11.5757851,517.932
48.1370073,11.5757895,518.064
48.1370109,11.5757865,518.014
48.1370145,11.5757847,518.049
48.1370181,11.575786,518.045
48.1370217,11.575788,518.099
48.1370254,11.5757854,518.052
48.137029,11.5757847,518.039
48.1370326,11.5757876,518.141
48.1370362,11.5757876,518.107
48.1370399,11.5757855,518.119
48.1370435,11.5757856,518.162
48.1370471,11.5757875,518.116
48.1370507,11.575783,518.153
48.1370544,11.5757831,518.13
48.137058,11.575785,518.166
48.1370616,11.5757863,518.191
48.1370652,11.5757878,518.163
48.1370688,11.5757909,518.213
48.1370725,11.5757892,518.281
48.1370761,11.5757865,518.265
48.1370797,11.5757869,518.25
48.1370833,11.5757842,518.258
48.137087,11.5757869,518.267
48.1370906,11.5757861,518.325
48.1370942,11.5757878,518.299
48.1370978,11.5757847,518.308
48.1371015,11.5757883,518.366
48.1371051,11.575791,518.335
48.1371087,11.5757866,518.394
48.1371123,11.575788,518.321
48.137116,11.5757888,518.432
48.1371196,11.5757858,518.368
48.1371232,11.5757875,518.393
48.1371268,11.5757869,518.353
48.1371304,11.5757872,518.409
48.1371341,11.5757848,518.392
48.1371377,11.575787,518.428
48.1371413,11.5757883,518.461
48.1371449,11.5757908,518.519
48.1371486,11.5757895,518.502
48.1371522,11.5757927,518.533
48.1371558,11.5757848,518.462
48.1371594,11.5757893,518.504
48.1371631,11.5757874,518.587
48.1371667,11.5757928,518.551
48.1371703,11.5757847,518.593
48.1371739,11.5757846,518.547
48.1371776,11.5757853,518.57
48.1371812,11.5757812,518.593
48.1371848,11.5757855,518.633
48.1371884,11.5757849,518.601
48.137192,11.5757873,518.617
48.1371957,11.5757878,518.642
48.1371993,11.575792,518.687
48.1372029,11.5757895,518.703
48.1372065,11.5757854,518.667
48.1372102,11.5757845,518.693
48.1372138,11.5757882,518.755
48.1372174,11.5757834,518.704
48.137221,11.5757919,518.758
48.1372247,11.5757901,518.706
48.1372283,11.5757856,518.662
48.1372319,11.5757823,518.747
48.1372355,11.5757906,518.788
48.1372392,11.5757866,518.767
48.1372428,11.5757902,518.821
48.1372464,11.5757826,518.784
48.13725,11.5757853,518.846
48.1372536,11.5757869,518.835
48.1372573,11.575787,518.823
48.1372609,11.5757857,518.88
48.1372645,11.5757886,518.871
48.1372681,11.575784,518.881
48.1372718,11.5757865,518.876
48.1372754,11.5757872,518.887
48.137279,11.5757883,518.927
48.1372826,11.5757888,518.939
48.1372863,11.5757839,518.94
48.1372899,11.5757828,518.923
48.1372935,11.5757904,518.928
48.1372971,11.5757878,518.969
48.1373007,11.5757849,519.003
48.1373044,11.5757911,519.014
48.137308,11.5757872,519.008
48.1373116,11.5757901,519.072
48.1373152,11.5757871,519.017
48.1373189,11.5757925,519.032
48.1373225,11.5757916,519.081
48.1373261,11.5757862,519.056
48.1373297,11.5757895,519.071
48.1373334,11.5757887,519.102
48.137337,11.5757906,519.144
48.1373406,11.5757843,519.108
48.1373442,11.5757888,519.153
48.1373479,11.5757898,519.216
48.1373515,11.5757822,519.123
48.1373551,11.5757837,519.162
48.1373587,11.5757814,519.139
48.1373623,11.5757862,519.165
48.137366,11.5757888,519.199
48.1373696,11.575791,519.225
48.1373732,11.5757871,519.243
48.1373768,11.5757913,519.336
48.1373805,11.5757832,519.214
48.1373841,11.5757823,519.231
48.1373877,11.5757868,519.277
48.1373913,11.5757879,519.309
48.137395,11.5757868,519.311
48.1373986,11.5757813,519.325
48.1374022,11.5757867,519.253
48.1374058,11.5757834,519.25
48.1374095,11.5757887,519.346
48.1374131,11.5757879,519.402
48.1374167,11.5757844,519.316
48.1374203,11.5757855,519.29
48.1374239,11.5757841,519.402
48.1374239,11.5758205,519.579
48.1374203,11.5758232,519.541
48.1374167,11.575818,519.505
48.1374131,11.575822,519.514
48.1374095,11.5758192,519.52
48.1374058,11.5758185,519.483
48.1374022,11.5758203,519.513
48.1373986,11.5758178,519.388
48.137395,11.5758191,519.443
48.1373913,11.5758174,519.414
48.1373877,11.5758259,519.471
48.1373841,11.5758207,519.424
48.1373805,11.5758187,519.442
48.1373768,11.5758212,519.363
48.1373732,11.5758203,519.403
48.1373696,11.57582,519.405
48.137366,11.5758223,519.443
48.1373623,11.5758227,519.363
48.1373587,11.5758192,519.358
48.1373551,11.5758191,519.281
48.1373515,11.5758199,519.255
48.1373479,11.5758144,519.313
48.1373442,11.5758165,519.286
48.1373406,11.5758243,519.349
48.137337,11.5758251,519.264
48.1373334,11.5758199,519.283
48.1373297,11.5758222,519.322
48.1373261,11.5758215,519.263
48.1373225,11.5758289,519.284
48.1373189,11.5758236,519.238
48.1373152,11.5758203,519.161
48.1373116,11.575818,519.226
48.137308,11.5758163,519.146
48.1373044,11.5758212,519.192
48.1373007,11.5758186,519.105
48.1372971,11.5758168,519.095
48.1372935,11.5758189,519.172
48.1372899,11.5758177,519.1
48.1372863,11.5758252,519.18
48.1372826,11.575823,519.111
48.137279,11.5758206,519.034
48.1372754,11.5758246,519.124
48.1372718,11.5758208,519.048
48.1372681,11.5758183,519.062
48.1372645,11.5758247,519.062
48.1372609,11.5758221,518.99
48.1372573,11.5758178,519.008
48.1372536,11.5758201,519.068
48.13725,11.5758183,518.996
48.1372464,11.5758169,518.96
48.1372428,11.5758231,519.013
48.1372392,11.5758258,518.989
48.1372355,11.5758168,518.932
48.1372319,11.5758221,518.907
48.1372283,11.5758189,518.918
48.1372247,11.5758193,518.933
48.137221,11.575819,518.863
48.1372174,11.5758183,518.915
48.1372138,11.5758208,518.87
48.1372102,11.5758184,518.822
48.1372065,11.5758213,518.881
48.1372029,11.5758205,518.826
48.1371993,11.57582,518.843
48.1371957,11.5758182,518.79
48.137192,11.5758191,518.79
48.1371884,11.5758227,518.812
48.1371848,11.575822,518.791
48.1371812,11.575818,518.69
48.1371776,11.5758209,518.719
48.1371739,11.5758226,518.777
48.1371703,11.5758161,518.7
48.1371667,11.5758221,518.706
48.1371631,11.5758188,518.653
48.1371594,11.5758222,518.666
48.1371558,11.5758186,518.607
48.1371522,11.5758158,518.639
48.1371486,11.5758162,518.614
48.1371449,11.5758208,518.614
48.1371413,11.5758213,518.632
48.1371377,11.5758182,518.617
48.1371341,11.5758223,518.678
48.1371304,11.5758161,518.526
48.1371268,11.5758204,518.616
48.1371232,11.5758174,518.583
48.1371196,11.5758189,518.525
48.137116,11.5758207,518.552
48.1371123,11.5758183,518.508
48.1371087,11.5758196,518.522
48.1371051,11.5758233,518.568
48.1371015,11.5758191,518.508
48.1370978,11.5758229,518.512
48.1370942,11.5758176,518.445
48.1370906,11.575822,518.424
48.137087,11.5758245,518.462
48.1370833,11.575814,518.439
48.1370797,11.5758185,518.368
48.1370761,11.5758222,518.389
48.1370725,11.5758201,518.402
48.1370688,11.5758216,518.364
48.1370652,11.575819,518.345
48.1370616,11.5758209,518.353
48.137058,11.5758202,518.309
48.1370544,11.5758238,518.327
48.1370507,11.5758213,518.353
48.1370471,11.5758215,518.281
48.1370435,11.5758195,518.251
48.1370399,11.5758193,518.266
48.1370362,11.5758195,518.296
48.1370326,11.5758217,518.267
48.137029,11.5758195,518.236
48.1370254,11.5758214,518.249
48.1370217,11.5758262,518.207
48.1370181,11.575823,518.246
48.1370145,11.5758197,518.214
48.1370109,11.5758239,518.199
48.1370073,11.5758195,518.208
48.1370036,11.5758151,518.11
48.137,11.5758179,518.179
48.1369964,11.5758156,518.126
48.1369928,11.5758197,518.12
48.1369891,11.5758207,518.122
48.1369855,11.5758251,518.129
48.1369819,11.5758215,518.138
48.1369783,11.57582,518.049
48.1369746,11.5758229,518.059
48.136971,11.5758147,518.059
48.1369674,11.5758213,518.026
48.1369638,11.5758227,518.06
48.1369601,11.5758166,518.038
48.1369565,11.5758237,517.983
48.1369529,11.5758215,517.982
48.1369493,11.5758195,517.893
48.1369457,11.5758223,517.929
48.136942,11.5758267,517.894
48.1369384,11.5758211,517.851
48.1369348,11.5758213,517.784
48.1369312,11.5758194,517.715
48.1369275,11.5758183,517.746
48.1369239,11.5758229,517.662
48.1369203,11.5758183,517.675
48.1369167,11.5758208,517.711
48.136913,11.5758193,517.673
48.1369094,11.5758219,517.74
48.1369058,11.5758215,517.714
48.1369022,11.5758234,517.685
48.1368985,11.5758192,517.685
48.1368949,11.5758199,517.697
48.1368913,11.575818,517.647
48.1368877,11.5758194,517.683
48.1368841,11.5758216,517.713
48.1368841,11.5758564,517.874
48.1368877,11.5758518,517.915
48.1368913,11.5758567,517.936
48.1368949,11.575858,517.901
48.1368985,11.5758554,517.944
48.1369022,11.5758594,517.974
48.1369058,11.5758522,517.902
48.1369094,11.575851,517.867
48.136913,11.5758495,517.876
48.1369167,11.5758584,517.93
48.1369203,11.5758561,517.899
48.1369239,11.5758542,517.854
48.1369275,11.5758551,517.898
48.1369312,11.5758513,517.92
48.1369348,11.5758609,517.926
48.1369384,11.5758547,518.006
48.136942,11.5758546,517.956
48.1369457,11.5758563,518.01
48.1369493,11.5758556,518.02
48.1369529,11.5758549,518.079
48.1369565,11.5758522,518.044
48.1369601,11.5758556,518.121
48.1369638,11.5758594,518.146
48.1369674,11.575858,518.203
48.136971,11.5758586,518.254
48.1369746,11.575853,518.24
48.1369783,11.5758517,518.161
48.1369819,11.575854,518.32
48.1369855,11.5758545,518.284
48.1369891,11.5758573,518.279
48.1369928,11.5758498,518.284
48.1369964,11.5758585,518.339
48.137,11.5758539,518.304
48.1370036,11.5758532,518.339
48.1370073,11.5758516,518.319
48.1370109,11.5758499,518.329
48.1370145,11.5758565,518.365
48.1370181,11.5758545,518.345
48.1370217,11.5758509,518.386
48.1370254,11.5758508,518.412
48.137029,11.5758534,518.434
48.1370326,11.5758588,518.482
48.1370362,11.5758536,518.454
48.1370399,11.5758503,518.424
48.1370435,11.5758537,518.493
48.1370471,11.5758536,518.439
48.1370507,11.5758471,518.433
48.1370544,11.5758542,518.478
48.137058,11.5758537,518.549
48.1370616,11.5758562,518.569
48.1370652,11.5758593,518.583
48.1370688,11.5758574,518.603
48.1370725,11.5758536,518.538
48.1370761,11.5758513,518.576
48.1370797,11.5758613,518.622
48.1370833,11.5758545,518.631
48.137087,11.5758544,518.613
48.1370906,11.5758543,518.617
48.1370942,11.5758549,518.66
48.1370978,11.5758539,518.677
48.1371015,11.5758528,518.637
48.1371051,11.5758529,518.668
48.1371087,11.5758542,518.657
48.1371123,11.5758529,518.619
48.137116,11.5758524,518.71
48.1371196,11.5758546,518.745
48.1371232,11.5758536,518.742
48.1371268,11.5758584,518.711
48.1371304,11.5758472,518.716
48.1371341,11.5758573,518.721
48.1371377,11.5758577,518.843
48.1371413,11.5758487,518.738
48.1371449,11.5758534,518.843
48.1371486,11.5758533,518.845
48.1371522,11.5758505,518.788
48.1371558,11.5758522,518.802
48.1371594,11.5758513,518.854
48.1371631,11.5758591,518.868
48.1371667,11.5758569,518.898
48.1371703,11.5758578,518.897
48.1371739,11.5758563,518.863
48.1371776,11.5758513,518.837
48.1371812,11.5758529,518.93
48.1371848,11.5758556,518.932
48.1371884,11.575851,518.922
48.137192,11.5758563,518.997
48.1371957,11.5758537,519.011
48.1371993,11.5758533,518.978
48.1372029,11.5758562,519.002
48.1372065,11.5758555,519.036
48.1372102,11.5758534,518.982
48.1372138,11.5758575,519.061
48.1372174,11.5758514,519.054
48.137221,11.575856,519.092
48.1372247,11.5758559,519.025
48.1372283,11.5758535,519.061
48.1372319,11.5758552,519.078
48.1372355,11.575851,519.098
48.1372392,11.5758568,519.15
48.1372428,11.5758538,519.178
48.1372464,11.5758529,519.126
48.13725,11.5758572,519.159
48.1372536,11.5758524,519.197
48.1372573,11.5758505,519.175
48.1372609,11.5758501,519.214
48.1372645,11.575856,519.225
48.1372681,11.5758509,519.169
48.1372718,11.5758591,519.216
48.1372754,11.5758487,519.171
48.137279,11.5758589,519.299
48.1372826,11.5758549,519.307
48.1372863,11.5758541,519.335
48.1372899,11.5758529,519.311
48.1372935,11.5758554,519.345
48.1372971,11.5758542,519.299
48.1373007,11.5758573,519.309
48.1373044,11.5758546,519.368
48.137308,11.5758547,519.368
48.1373116,11.5758533,519.364
48.1373152,11.5758542,519.388
48.1373189,11.5758552,519.403
48.1373225,11.5758497,519.418
48.1373261,11.5758507,519.435
48.1373297,11.5758563,519.452
48.1373334,11.5758548,519.466
48.137337,11.5758538,519.463
48.1373406,11.5758544,519.449
48.1373442,11.5758553,519.502
48.1373479,11.5758529,519.437
48.1373515,11.5758522,519.52
48.1373551,11.5758549,519.477
48.1373587,11.5758517,519.518
48.1373623,11.5758554,519.515
48.137366,11.5758497,519.541
48.1373696,11.5758571,519.571
48.1373732,11.5758556,519.529
48.1373768,11.575855,519.599
48.1373805,11.575857,519.591
48.1373841,11.5758588,519.655
48.1373877,11.5758571,519.633
48.1373913,11.5758494,519.619
48.137395,11.5758509,519.598
48.1373986,11.5758526,519.63
48.1374022,11.5758544,519.654
48.1374058,11.5758557,519.712
48.1374095,11.5758524,519.732
48.1374131,11.5758548,519.682
48.1374167,11.5758523,519.738
48.1374203,11.5758527,519.655
48.1374239,11.5758505,519.686
48.1374239,11.5758855,519.862
48.1374203,11.5758844,519.833
48.1374167,11.5758854,519.818
48.1374131,11.5758909,519.892
48.1374095,11.5758855,519.836
48.1374058,11.5758951,519.887
48.1374022,11.5758894,519.857
48.1373986,11.5758885,519.828
48.137395,11.5758857,519.815
48.1373913,11.5758899,519.801
48.1373877,11.5758865,519.739
48.1373841,11.5758884,519.803
48.1373805,11.5758949,519.773
48.1373768,11.5758878,519.716
48.1373732,11.5758911,519.743
48.1373696,11.5758861,519.685
48.137366,11.5758879,519.696
48.1373623,11.5758928,519.73
48.1373587,11.5758863,519.687
48.1373551,11.5758929,519.669
48.1373515,11.5758899,519.655
48.1373479,11.5758865,519.674
48.1373442,11.5758897,519.66
48.1373406,11.5758907,519.699
48.137337,11.5758897,519.656
48.1373334,11.5758838,519.615
48.1373297,11.5758861,519.537
48.1373261,11.5758874,519.596
48.1373225,11.5758878,519.562
48.1373189,11.5758897,519.544
48.1373152,11.5758885,519.547
48.1373116,11.5758844,519.539
48.137308,11.5758891,519.536
48.1373044,11.5758897,519.485
48.1373007,11.5758895,519.521
48.1372971,11.575891,519.474
48.1372935,11.5758903,519.485
48.1372899,11.5758893,519.452
48.1372863,11.5758878,519.436
48.1372826,11.5758836,519.433
48.137279,11.5758892,519.394
48.1372754,11.5758886,519.468
48.1372718,11.5758888,519.344
48.1372681,11.5758846,519.349
48.1372645,11.5758851,519.368
48.1372609,11.5758909,519.39
48.1372573,11.5758879,519.343
48.1372536,11.5758899,519.342
48.13725,11.5758881,519.335
48.1372464,11.5758881,519.304
48.1372428,11.5758906,519.352
48.1372392,11.5758866,519.305
48.1372355,11.5758883,519.302
48.1372319,11.5758868,519.227
48.1372283,11.5758869,519.242
48.1372247,11.5758872,519.225
48.137221,11.5758886,519.199
48.1372174,11.5758867,519.219
48.1372138,11.5758914,519.202
48.1372102,11.5758856,519.198
48.1372065,11.5758875,519.143
48.1372029,11.5758869,519.212
48.1371993,11.5758919,519.145
48.1371957,11.5758886,519.151
48.137192,11.5758908,519.166
48.1371884,11.575884,519.081
48.1371848,11.5758888,519.134
48.1371812,11.5758904,519.068
48.1371776,11.5758883,519.126
48.1371739,11.5758909,519.083
48.1371703,11.5758866,519.032
48.1371667,11.5758918,519.054
48.1371631,11.5758942,519.086
48.1371594,11.5758871,518.998
48.1371558,11.5758868,518.98
48.1371522,11.575892,519.008
48.1371486,11.5758923,518.969
48.1371449,11.5758866,519.02
48.1371413,11.5758869,518.938
48.1371377,11.5758873,518.969
48.1371341,11.5758844,518.925
48.1371304,11.5758856,518.883
48.1371268,11.5758853,518.899
48.1371232,11.575886,518.914
48.1371196,11.5758879,518.882
48.137116,11.5758887,518.914
48.1371123,11.5758922,518.914
48.1371087,11.5758853,518.866
48.1371051,11.5758907,518.838
48.1371015,11.5758875,518.792
48.1370978,11.5758879,518.796
48.1370942,11.5758899,518.818
48.1370906,11.575885,518.793
48.137087,11.5758891,518.719
48.1370833,11.5758885,518.769
48.1370797,11.5758894,518.766
48.1370761,11.5758888,518.738
48.1370725,11.5758947,518.801
48.1370688,11.5758863,518.723
48.1370652,11.5758866,518.739
48.1370616,11.5758864,518.68
48.137058,11.5758865,518.703
48.1370544,11.5758863,518.711
48.1370507,11.5758912,518.713
48.1370471,11.5758919,518.632
48.1370435,11.5758865,518.619
48.1370399,11.5758858,518.601
48.1370362,11.5758893,518.631
48.1370326,11.5758865,518.611
48.137029,11.5758897,518.569
48.1370254,11.5758886,518.578
48.1370217,11.575884,518.481
48.1370181,11.5758922,518.612
48.1370145,11.5758929,518.545
48.1370109,11.5758864,518.519
48.1370073,11.575887,518.498
48.1370036,11.5758888,518.538
48.137,11.5758889,518.406
48.1369964,11.5758898,518.48
48.1369928,11.5758935,518.479
48.1369891,11.5758876,518.427
48.1369855,11.5758859,518.468
48.1369819,11.5758843,518.364
48.1369783,11.5758861,518.399
48.1369746,11.5758879,518.368
48.136971,11.5758929,518.383
48.1369674,11.5758866,518.275
48.1369638,11.5758886,518.247
48.1369601,11.575888,518.266
48.1369565,11.5758912,518.221
48.1369529,11.5758949,518.143
48.1369493,11.5758866,518.118
48.1369457,11.5758867,518.121
48.136942,11.5758909,518.134
